subgenre_id,subgenre_name,genre_id
KZazBEonSMnZfZ7vk71,Continental Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7J,Cool,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7E,Cool Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7I,Crossover Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7t,Cuban Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7n,Cuban Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7l,Dance Bands,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAv,Dixieland,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAe,Early Creative,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAd,European Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkA7,Experimental Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAA,Free Funk,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAk,Free Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkA6,Fusion,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAF,Hard Bop,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkda,Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAa,Jazz Funk,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkA1,Jazz Standards,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAJ,Jive,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAE,Jive Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAI,Latin Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAt,M-Base,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAn,Modern Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkAl,Modern Creative,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkv,Modern Free,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkke,New Orleans Brass Bands,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkd,New Orleans Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkk7,Novelty Ragtime,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkA,Orchestral Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkk,Post-Bop,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkk6,Progressive Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkF,Progressive Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkka,Ragtime,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkk1,Retro Swing,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkJ,Smooth Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkE,Society Dance Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkI,Soul Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkt,Soul-Jazz & Boogaloo,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkn,Stride Piano,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkkl,Sweet Bands,KnvZfZ7vAvE
